"Quantity","LCSC Part #","Description","Designator","Footprint"
"8","C1710","Unpolarized capacitor, small symbol","C201,C203,C301,C303,C401,C403,C601,C603","C_0805_2012Metric"
"8","C49678","Unpolarized capacitor Unpolarized capacitor, small symbol","C202,C204,C302,C304,C402,C404,C602,C604","C_0805_2012Metric"
"4","C105759","Unpolarized capacitor","C501,C701,C801,C901","C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4"
"6","C258170","100V 0.15A standard switching diode, DO-35","D502,D702,D802,D902,D1002,D1102","D_DO-35_SOD27_P7.62mm_Horizontal"
"5","C142797","Fuse","F101,F501,F701,F801,F901","Fuseholder_Littelfuse_100_series_5x20mm"
"6","C157931","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","J201,J301,J401,J601,J1001,J1101","JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal"
"1","C163036","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","J117","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"2","C263757","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","J114,J116","JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal"
"1","C163037","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","J113","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal"
"12","C532213","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","J101,J102,J103,J104,J105,J106,J107,J108,J109,J110,J111,J112","Faston 63823"
"1","C163036","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","J115","JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal"
"6","C157931","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","J120,J121,J122,J123,J124,J125","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical"
"4","C35449","Sanyo SRD relay, Single Pole Miniature Power Relay,","K501,K701,K801,K901","Relay_SPDT_SANYOU_SRD_Series_Form_C"
"1","C6280121","5V, 4A, 20W, Isolated, AC-DC, 219A(IRM20)","PS101","Converter_ACDC_MeanWell_IRM-20-xx_THT"
"6","C124482","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92","Q501,Q701,Q801,Q901,Q1001,Q1101","TO-92_Inline"
"2","C17477","Resistor, small symbol","R1003,R1103","R_0805_2012Metric"
"8","C17408","Resistor, small symbol","R202,R203,R302,R303,R402,R403,R602,R603","R_0805_2012Metric"
"1","C2828847","Resistor, US symbol","R106","R_0805_2012Metric"
"8","C17630","Resistor, small symbol","R103,R104,R504,R704,R804,R904,R1002,R1102","R_0805_2012Metric"
"1","C114564","Resistor, small symbol","R105","R_0805_2012Metric"
"14","C95781 C84376","Resistor, small symbol","R204,R304,R404,R501,R502,R604,R701,R702,R801,R802,R901,R902,R1001,R1101","R_0805_2012Metric"
"9","C84376","Resistor, small symbol","R101,R102,R107,R108,R109,R503,R703,R803,R903","R_0805_2012Metric"
"12","C17713","Resistor, small symbol","R1201,R1202,R1204,R1301,R1302,R1304,R1401,R1402,R1404,R1501,R1502,R1504","R_0805_2012Metric"
"4","C107700","Resistor, small symbol","R201,R301,R401,R601","R_0805_2012Metric"
"4","C722171","Single Pole Single Throw (SPST) switch","SW501,SW701,SW801,SW901","SW_TH_Tactile_Omron_B3F-102x"
"4","C94571","Qingxian Zeming Langxi Electronic ZMCT103C current transformer 1000:1 10A","TR1201,TR1301,TR1401,TR1501","Transformer_Zeming_ZMCT103C"
"4","C578736","Precision Thermocouple Amplifiers with Cold Junction Compensation, K-Type Thermocouple, 0 to 50C, MSOP-8","U201,U301,U401,U601","MSOP-8_3x3mm_P0.65mm"
"1","C579101","Single 8-to-1 CMOS Low Voltage 2-Wire Serially Controlled, Matrix Switches","U101","TSSOP-16_4.4x5mm_P0.65mm"
"4","C42463210","Shunt Regulator, SOT-23","U202,U302,U402,U602","SOT-23"
